#Time	LowerQ	Median	UpperQ
0	398000	548000	837000
2590	398000	548000	837000
2690	398000	548000	837000
2740	398000	548000	836000
2760	398000	548000	837000
2770	398000	548000	836000
2810	398000	547000	836000
2860	398000	547000	836000
2870	397000	547000	835000
2890	398000	547000	836000
2900	397000	547000	836000
2910	397000	547000	835000
2920	397000	547000	835000
2930	397000	547000	835000
2950	397000	547000	835000
2960	397000	547000	835000
2970	397000	547000	835000
2980	397000	547000	836000
2990	397000	547000	836000
3000	397000	547000	838000
3010	397000	547000	838000
3020	397000	547000	837000
3030	397000	547000	838000
3040	397000	547000	840000
3050	397000	547000	840000
3060	397000	547000	841000
3070	397000	547000	841000
3080	397000	547000	843000
3090	397000	547000	845000
3100	397000	547000	852000
3110	397000	547000	853000
3120	397000	547000	855000
3130	397000	547000	862000
3140	397000	548000	878000
3150	397000	548000	881000
3160	397000	548000	898000
3170	397000	548000	932000
3180	397000	548000	973000
3190	397000	548000	1.08e+06
3200	397000	548000	1.26e+06
3210	397000	548000	1.28e+06
3220	397000	548000	1.29e+06
3230	397000	548000	1.29e+06
3240	397000	548000	1.29e+06
3250	397000	548000	1.3e+06
3260	397000	548000	1.3e+06
3270	397000	548000	1.3e+06
3280	396000	548000	1.31e+06
3290	397000	549000	1.31e+06
3300	397000	549000	1.31e+06
3310	397000	549000	1.31e+06
3320	396000	549000	1.31e+06
3330	397000	549000	1.31e+06
3340	396000	549000	1.32e+06
3350	396000	550000	1.32e+06
3360	396000	550000	1.32e+06
3370	396000	550000	1.32e+06
3380	396000	550000	1.32e+06
3390	396000	551000	1.32e+06
3400	396000	551000	1.32e+06
3410	396000	552000	1.32e+06
3420	396000	552000	1.32e+06
3430	396000	552000	1.32e+06
3440	395000	553000	1.32e+06
3450	395000	554000	1.32e+06
3460	395000	555000	1.33e+06
3470	396000	556000	1.33e+06
3480	394000	556000	1.33e+06
3490	394000	557000	1.33e+06
3500	394000	558000	1.33e+06
3510	396000	560000	1.33e+06
3520	394000	560000	1.33e+06
3530	395000	562000	1.33e+06
3540	395000	564000	1.33e+06
3550	394000	566000	1.33e+06
3560	395000	568000	1.33e+06
3570	395000	570000	1.33e+06
3580	396000	572000	1.33e+06
3590	395000	576000	1.33e+06
3600	395000	579000	1.33e+06
3610	397000	584000	1.33e+06
3620	397000	589000	1.33e+06
3630	396000	595000	1.33e+06
3640	396000	603000	1.33e+06
3650	394000	613000	1.33e+06
3660	395000	624000	1.33e+06
3670	396000	643000	1.33e+06
3680	397000	685000	1.33e+06
3690	396000	835000	1.34e+06
3700	397000	1.26e+06	1.34e+06
3710	397000	1.27e+06	1.34e+06
3720	398000	1.28e+06	1.34e+06
3730	397000	1.28e+06	1.34e+06
3740	398000	1.28e+06	1.34e+06
3750	398000	1.29e+06	1.34e+06
3760	399000	1.29e+06	1.34e+06
3770	400000	1.29e+06	1.34e+06
3780	398000	1.29e+06	1.34e+06
3790	399000	1.29e+06	1.34e+06
3800	400000	1.29e+06	1.34e+06
3810	400000	1.29e+06	1.34e+06
3820	400000	1.29e+06	1.34e+06
3830	402000	1.29e+06	1.34e+06
3840	400000	1.3e+06	1.34e+06
3850	403000	1.3e+06	1.34e+06
3860	401000	1.3e+06	1.34e+06
3870	406000	1.3e+06	1.34e+06
3880	406000	1.3e+06	1.34e+06
3890	404000	1.3e+06	1.34e+06
3900	404000	1.3e+06	1.34e+06
3910	405000	1.3e+06	1.34e+06
3920	407000	1.3e+06	1.34e+06
3930	407000	1.3e+06	1.34e+06
3940	407000	1.3e+06	1.34e+06
3950	407000	1.3e+06	1.34e+06
3960	409000	1.3e+06	1.34e+06
3970	409000	1.3e+06	1.34e+06
3980	409000	1.3e+06	1.34e+06
3990	409000	1.3e+06	1.34e+06
4000	410000	1.3e+06	1.34e+06
4010	411000	1.3e+06	1.34e+06
4020	412000	1.3e+06	1.34e+06
4030	412000	1.3e+06	1.34e+06
4040	413000	1.3e+06	1.34e+06
4050	414000	1.3e+06	1.34e+06
4060	414000	1.3e+06	1.34e+06
4070	414000	1.3e+06	1.34e+06
4080	414000	1.3e+06	1.34e+06
4090	415000	1.3e+06	1.34e+06
4100	415000	1.3e+06	1.34e+06
4110	416000	1.3e+06	1.34e+06
4120	416000	1.3e+06	1.34e+06
4130	417000	1.3e+06	1.34e+06
4140	417000	1.3e+06	1.34e+06
4150	417000	1.3e+06	1.34e+06
4160	418000	1.3e+06	1.34e+06
4170	419000	1.3e+06	1.34e+06
4180	419000	1.3e+06	1.34e+06
4190	420000	1.3e+06	1.34e+06
4200	420000	1.3e+06	1.34e+06
4210	421000	1.3e+06	1.34e+06
4220	421000	1.3e+06	1.34e+06
4230	422000	1.3e+06	1.34e+06
4240	422000	1.3e+06	1.34e+06
4250	422000	1.3e+06	1.34e+06
4260	422000	1.3e+06	1.34e+06
4270	422000	1.3e+06	1.34e+06
4280	423000	1.3e+06	1.34e+06
4290	425000	1.3e+06	1.34e+06
4300	425000	1.3e+06	1.34e+06
4310	426000	1.3e+06	1.34e+06
4320	427000	1.3e+06	1.34e+06
4330	428000	1.3e+06	1.34e+06
4340	428000	1.3e+06	1.34e+06
4350	430000	1.3e+06	1.34e+06
4360	433000	1.3e+06	1.34e+06
4370	433000	1.3e+06	1.34e+06
4380	434000	1.3e+06	1.34e+06
4390	435000	1.3e+06	1.34e+06
4400	435000	1.3e+06	1.34e+06
4410	437000	1.3e+06	1.34e+06
4420	440000	1.3e+06	1.34e+06
4430	443000	1.3e+06	1.34e+06
4440	444000	1.3e+06	1.34e+06
4450	447000	1.3e+06	1.34e+06
4460	449000	1.3e+06	1.34e+06
4470	460000	1.3e+06	1.34e+06
4480	470000	1.3e+06	1.34e+06
4490	557000	1.3e+06	1.34e+06
4500	690000	1.3e+06	1.34e+06
4510	696000	1.3e+06	1.34e+06
4520	700000	1.3e+06	1.34e+06
4530	702000	1.3e+06	1.34e+06
4540	707000	1.3e+06	1.34e+06
4550	709000	1.31e+06	1.34e+06
4560	711000	1.31e+06	1.34e+06
4570	713000	1.31e+06	1.34e+06
4580	720000	1.31e+06	1.34e+06
4590	725000	1.31e+06	1.34e+06
4600	833000	1.31e+06	1.34e+06
4610	839000	1.31e+06	1.34e+06
4620	841000	1.31e+06	1.34e+06
4630	843000	1.31e+06	1.34e+06
4640	844000	1.31e+06	1.34e+06
4650	845000	1.31e+06	1.34e+06
4660	846000	1.31e+06	1.34e+06
4670	847000	1.31e+06	1.34e+06
4680	847000	1.31e+06	1.34e+06
4690	848000	1.31e+06	1.34e+06
4700	850000	1.31e+06	1.34e+06
4710	850000	1.31e+06	1.34e+06
4720	851000	1.31e+06	1.34e+06
4730	852000	1.31e+06	1.34e+06
4740	852000	1.31e+06	1.34e+06
4750	852000	1.31e+06	1.34e+06
4760	853000	1.31e+06	1.34e+06
4770	853000	1.31e+06	1.34e+06
4780	853000	1.31e+06	1.34e+06
4790	853000	1.31e+06	1.34e+06
4800	854000	1.31e+06	1.34e+06
4810	855000	1.31e+06	1.34e+06
4820	855000	1.31e+06	1.34e+06
4830	855000	1.31e+06	1.34e+06
4840	855000	1.31e+06	1.34e+06
4850	855000	1.31e+06	1.34e+06
4860	856000	1.31e+06	1.34e+06
4870	856000	1.31e+06	1.34e+06
4880	856000	1.31e+06	1.34e+06
4890	856000	1.31e+06	1.34e+06
4900	856000	1.31e+06	1.34e+06
4910	856000	1.31e+06	1.34e+06
4920	857000	1.31e+06	1.34e+06
4930	857000	1.31e+06	1.34e+06
4940	857000	1.31e+06	1.34e+06
4950	857000	1.31e+06	1.34e+06
4960	857000	1.31e+06	1.34e+06
4970	857000	1.31e+06	1.34e+06
4990	857000	1.31e+06	1.34e+06
5010	858000	1.31e+06	1.34e+06
5020	858000	1.31e+06	1.34e+06
5030	858000	1.31e+06	1.34e+06
5040	858000	1.31e+06	1.34e+06
5050	858000	1.31e+06	1.34e+06
5060	859000	1.31e+06	1.34e+06
5070	859000	1.31e+06	1.34e+06
5080	859000	1.31e+06	1.34e+06
5090	859000	1.31e+06	1.34e+06
5100	859000	1.31e+06	1.34e+06
5110	859000	1.31e+06	1.34e+06
5130	859000	1.31e+06	1.34e+06
5140	859000	1.31e+06	1.34e+06
5180	859000	1.31e+06	1.34e+06
5190	859000	1.31e+06	1.34e+06
5220	859000	1.31e+06	1.34e+06
5230	859000	1.31e+06	1.34e+06
5260	859000	1.31e+06	1.34e+06
5300	860000	1.31e+06	1.34e+06
5310	860000	1.31e+06	1.34e+06
5320	860000	1.31e+06	1.34e+06
5400	860000	1.31e+06	1.34e+06
5430	860000	1.31e+06	1.34e+06
5450	860000	1.31e+06	1.34e+06
5550	860000	1.31e+06	1.34e+06
5560	860000	1.31e+06	1.34e+06
5570	860000	1.31e+06	1.34e+06
5800	861000	1.31e+06	1.34e+06
7460	861000	1.31e+06	1.34e+06
8100	861000	1.31e+06	1.34e+06
9510	861000	1.31e+06	1.34e+06
9890	861000	1.31e+06	1.34e+06
11000	862000	1.31e+06	1.34e+06
2.03e+06	862000	1.31e+06	1.34e+06
2.05e+06	862000	1.31e+06	1.34e+06
2.06e+06	862000	1.31e+06	1.34e+06
2.07e+06	862000	1.31e+06	1.34e+06
2.08e+06	862000	1.31e+06	1.34e+06
2.09e+06	862000	1.31e+06	1.34e+06
2.1e+06	862000	1.31e+06	1.34e+06
2.11e+06	862000	1.31e+06	1.34e+06
2.12e+06	862000	1.31e+06	1.34e+06
2.13e+06	862000	1.31e+06	1.34e+06
2.14e+06	862000	1.31e+06	1.34e+06
2.15e+06	862000	1.31e+06	1.34e+06
2.16e+06	862000	1.31e+06	1.34e+06
2.18e+06	862000	1.31e+06	1.34e+06
2.2e+06	862000	1.31e+06	1.34e+06
2.22e+06	862000	1.31e+06	1.34e+06
2.23e+06	862000	1.31e+06	1.34e+06
2.24e+06	862000	1.31e+06	1.34e+06
2.25e+06	862000	1.31e+06	1.34e+06
2.26e+06	862000	1.31e+06	1.34e+06
2.27e+06	862000	1.31e+06	1.34e+06
2.28e+06	862000	1.31e+06	1.34e+06
2.29e+06	862000	1.31e+06	1.34e+06
2.3e+06	862000	1.31e+06	1.34e+06
2.31e+06	862000	1.31e+06	1.34e+06
