#Pos	Mean	SD
0	9291625.00	16486095.53
1920	9290375.00	16486792.72
2010	9289125.00	16487490.65
2040	9287875.00	16488189.30
2070	9286625.00	16488888.68
2080	9285375.00	16489588.79
2100	9284125.00	16490289.63
2110	9282750.00	16491068.58
2130	9281500.00	16491770.86
2140	9280250.00	16492473.87
2150	9279000.00	16493177.60
2160	9277750.00	16493882.07
2170	9276500.00	16494587.26
2180	9275250.00	16495293.18
2190	9274000.00	16495999.83
2200	9272750.00	16496707.20
2210	9271500.00	16497415.30
2220	9269000.00	16498833.69
2230	9267750.00	16499543.97
2240	9266500.00	16500254.99
2250	9264000.00	16501679.19
2260	9262750.00	16502392.38
2270	9261500.00	16503106.30
2280	9258875.00	16504607.89
2290	9256750.00	16505825.81
2300	9254375.00	16507189.50
2310	9251750.00	16508704.83
2320	9249500.00	16510001.75
2330	9247375.00	16511228.78
2340	9245500.00	16512313.19
2350	9243125.00	16513689.12
2360	9240625.00	16515140.30
2370	9237625.00	16516889.62
2380	9234375.00	16518784.79
2390	9231000.00	16520758.02
2400	9227375.00	16522883.31
2410	9223000.00	16525459.50
2420	9217375.00	16528780.41
2430	9206625.00	16535167.78
2440	9143462.50	16573771.89
2450	9143287.50	16573881.39
2460	9143037.50	16574035.44
2470	9143075.00	16574013.82
2480	9142887.50	16574128.77
2490	9142837.50	16574160.07
2500	9142537.50	16574343.59
2510	9142612.50	16574298.50
2520	9142462.50	16574390.00
2530	9142300.00	16574489.33
2540	9142262.50	16574512.80
2550	9142112.50	16574604.31
2560	9141950.00	16574703.65
2570	9141800.00	16574795.18
2580	9141525.00	16574962.60
2590	9141387.50	16575046.32
2600	9141250.00	16575130.05
2610	9141100.00	16575221.61
2620	9140962.50	16575305.35
2630	9140950.00	16575312.75
2640	9140812.50	16575396.50
2650	9140675.00	16575480.27
2660	9140412.50	16575640.00
2670	9140275.00	16575723.78
2680	9140012.50	16575883.55
2690	9140000.00	16575891.02
2700	9139862.50	16575974.84
2710	9139725.00	16576058.34
2720	9139475.00	16576210.38
2730	9139212.50	16576370.26
2740	9138950.00	16576530.18
2750	9138825.00	16576606.00
2760	9138562.50	16576765.97
2770	9138437.50	16576841.86
2780	9138175.00	16577001.90
2790	9138050.00	16577077.86
2800	9137787.50	16577237.83
2810	9137412.50	16577464.09
2820	9137287.50	16577540.21
2830	9136912.50	16577768.79
2840	9136525.00	16578005.33
2850	9136275.00	16578157.91
2860	9135775.00	16578463.17
2870	9135400.00	16578692.46
2880	9134650.00	16579150.93
2890	9133887.50	16579617.59
2900	9132387.50	16580536.42
2910	9110675.00	16593946.46
2920	9110762.50	16593898.01
2930	9110975.00	16593771.82
2940	9111250.00	16593606.78
2950	9111537.50	16593434.04
2960	9112212.50	16593026.45
2970	9112887.50	16592619.15
2980	9114225.00	16591810.78
2990	9115425.00	16591086.59
3000	9119750.00	16588479.67
3010	9156712.50	16566545.36
3020	9191925.00	16546233.43
3030	9192650.00	16545822.84
3040	9193125.00	16545554.51
3050	9193350.00	16545428.28
3060	9193575.00	16545302.07
3070	9193800.00	16545175.90
3080	9194025.00	16545044.62
3090	9194262.50	16544910.60
3100	9194375.00	16544847.54
3110	9194612.50	16544708.41
3120	9194725.00	16544645.37
3130	9194962.50	16544506.25
3140	9195075.00	16544439.47
3150	9195300.00	16544308.25
3170	9195537.50	16544169.16
3180	9195775.00	16544030.07
3190	9196025.00	16543877.41
3200	9196387.50	16543662.29
3210	9196500.00	16543594.14
3220	9196875.00	16543371.18
3230	9197237.50	16543151.03
3240	9197600.00	16542930.32
3250	9198100.00	16542631.48
3260	9198600.00	16542327.66
3270	9199212.50	16541955.94
3280	9200212.50	16541353.09
3290	9201200.00	16540755.39
3300	9202700.00	16539846.13
3310	9206700.00	16537425.33
3320	9288562.50	16489527.93
3330	9289937.50	16488742.97
3340	9291187.50	16488036.36
3350	9291425.00	16487890.97
3360	9291550.00	16487813.33
3380	9291800.00	16487663.77
3390	9293287.50	16486812.43
3400	9293412.50	16486734.79
3410	9293787.50	16486503.78
3420	9294037.50	16486348.56
3430	9294275.00	16486201.36
3440	9294650.00	16485970.44
3450	9295025.00	16485739.55
3460	9295525.00	16485431.14
3470	9296025.00	16485122.80
