#Time	Mean	SEM
0	9291625.00	5828714.97
1920	9290375.00	5828961.47
2010	9289125.00	5829208.22
2040	9287875.00	5829455.23
2070	9286625.00	5829702.50
2080	9285375.00	5829950.03
2100	9284125.00	5830197.81
2110	9282750.00	5830473.21
2130	9281500.00	5830721.50
2140	9280250.00	5830970.05
2150	9279000.00	5831218.86
2160	9277750.00	5831467.93
2170	9276500.00	5831717.25
2180	9275250.00	5831966.83
2190	9274000.00	5832216.67
2200	9272750.00	5832466.76
2210	9271500.00	5832717.12
2220	9269000.00	5833218.59
2230	9267750.00	5833469.72
2240	9266500.00	5833721.10
2250	9264000.00	5834224.63
2260	9262750.00	5834476.78
2270	9261500.00	5834729.19
2280	9258875.00	5835260.08
2290	9256750.00	5835690.68
2300	9254375.00	5836172.82
2310	9251750.00	5836708.57
2320	9249500.00	5837167.10
2330	9247375.00	5837600.92
2340	9245500.00	5837984.31
2350	9243125.00	5838470.78
2360	9240625.00	5838983.85
2370	9237625.00	5839602.33
2380	9234375.00	5840272.37
2390	9231000.00	5840970.01
2400	9227375.00	5841721.42
2410	9223000.00	5842632.24
2420	9217375.00	5843806.36
2430	9206625.00	5846064.63
2440	9143462.50	5859713.25
2450	9143287.50	5859751.96
2460	9143037.50	5859806.43
2470	9143075.00	5859798.78
2480	9142887.50	5859839.42
2490	9142837.50	5859850.49
2500	9142537.50	5859915.37
2510	9142612.50	5859899.43
2520	9142462.50	5859931.78
2530	9142300.00	5859966.90
2540	9142262.50	5859975.20
2550	9142112.50	5860007.55
2560	9141950.00	5860042.67
2570	9141800.00	5860075.03
2580	9141525.00	5860134.23
2590	9141387.50	5860163.83
2600	9141250.00	5860193.43
2610	9141100.00	5860225.80
2620	9140962.50	5860255.41
2630	9140950.00	5860258.02
2640	9140812.50	5860287.63
2650	9140675.00	5860317.25
2660	9140412.50	5860373.72
2670	9140275.00	5860403.34
2680	9140012.50	5860459.83
2690	9140000.00	5860462.47
2700	9139862.50	5860492.11
2710	9139725.00	5860521.63
2720	9139475.00	5860575.38
2730	9139212.50	5860631.91
2740	9138950.00	5860688.45
2750	9138825.00	5860715.25
2760	9138562.50	5860771.81
2770	9138437.50	5860798.65
2780	9138175.00	5860855.23
2790	9138050.00	5860882.08
2800	9137787.50	5860938.64
2810	9137412.50	5861018.64
2820	9137287.50	5861045.55
2830	9136912.50	5861126.37
2840	9136525.00	5861209.99
2850	9136275.00	5861263.94
2860	9135775.00	5861371.86
2870	9135400.00	5861452.93
2880	9134650.00	5861615.02
2890	9133887.50	5861780.01
2900	9132387.50	5862104.87
2910	9110675.00	5866846.03
2920	9110762.50	5866828.90
2930	9110975.00	5866784.29
2940	9111250.00	5866725.94
2950	9111537.50	5866664.86
2960	9112212.50	5866520.76
2970	9112887.50	5866376.76
2980	9114225.00	5866090.96
2990	9115425.00	5865834.92
3000	9119750.00	5864913.23
3010	9156712.50	5857158.28
3020	9191925.00	5849976.93
3030	9192650.00	5849831.77
3040	9193125.00	5849736.90
3050	9193350.00	5849692.27
3060	9193575.00	5849647.65
3070	9193800.00	5849603.04
3080	9194025.00	5849556.62
3090	9194262.50	5849509.24
3100	9194375.00	5849486.95
3110	9194612.50	5849437.75
3120	9194725.00	5849415.47
3130	9194962.50	5849366.28
3140	9195075.00	5849342.67
3150	9195300.00	5849296.28
3170	9195537.50	5849247.10
3180	9195775.00	5849197.93
3190	9196025.00	5849143.95
3200	9196387.50	5849067.90
3210	9196500.00	5849043.80
3220	9196875.00	5848964.97
3230	9197237.50	5848887.14
3240	9197600.00	5848809.10
3250	9198100.00	5848703.45
3260	9198600.00	5848596.03
3270	9199212.50	5848464.61
3280	9200212.50	5848251.47
3290	9201200.00	5848040.15
3300	9202700.00	5847718.68
3310	9206700.00	5846862.80
3320	9288562.50	5829928.51
3330	9289937.50	5829650.98
3340	9291187.50	5829401.16
3350	9291425.00	5829349.76
3360	9291550.00	5829322.31
3380	9291800.00	5829269.43
3390	9293287.50	5828968.43
3400	9293412.50	5828940.98
3410	9293787.50	5828859.31
3420	9294037.50	5828804.43
3430	9294275.00	5828752.39
3440	9294650.00	5828670.75
3450	9295025.00	5828589.12
3460	9295525.00	5828480.08
3470	9296025.00	5828371.06
3480	9296650.00	5828234.05
3490	9297262.50	5828100.53
3500	9297887.50	5827964.22
3510	9299262.50	5827664.37
3520	9301262.50	5827228.87
3530	9305262.50	5826356.91
3540	5595887.50	5045874.09
3550	5597137.50	5045712.34
3560	5597887.50	5045613.79
3570	5598262.50	5045564.70
3580	5598750.00	5045498.16
3590	5599250.00	5045430.01
3600	5599750.00	5045360.23
3610	5600625.00	5045238.51
3620	5601250.00	5045152.78
3630	5602125.00	5045029.94
3640	5603250.00	5044871.80
3650	5604500.00	5044694.96
3660	5605875.00	5044503.80
3670	5608250.00	5044169.28
3680	5613625.00	5043417.21
3690	5632375.00	5040833.79
3700	5685625.00	5033869.43
3710	5686875.00	5033712.59
3720	5688250.00	5033539.28
3740	5688375.00	5033522.51
3750	5689625.00	5033366.27
3760	5689612.50	5033368.26
3780	5689737.50	5033351.49
3790	5690987.50	5033190.58
3810	5691112.50	5033173.81
3840	5692362.50	5033017.81
3880	5692487.50	5033001.03
3960	5692612.50	5032984.26
4150	5692737.50	5032967.49
4550	5693987.50	5032811.78
4760	601362.50	194982.79
4770	600362.50	195309.19
4780	600112.50	195391.50
4790	599987.50	195432.76
4800	599862.50	195474.10
4810	599737.50	195515.50
4820	599612.50	195556.98
4830	599487.50	195598.53
4840	599362.50	195640.15
4860	599237.50	195681.84
4890	599112.50	195723.60
4930	598987.50	195765.43
5020	598862.50	195807.33
6090	598850.00	195812.25
6290	598837.50	195817.17
6340	598850.00	195812.25
6370	598837.50	195817.17
6420	598850.00	195812.25
6570	598862.50	195807.33
6610	598875.00	195802.42
6650	598887.50	195797.50
6690	598900.00	195792.59
6720	598912.50	195787.68
6750	598925.00	195782.77
6780	598937.50	195777.85
6800	598950.00	195772.94
6830	598962.50	195768.03
6840	598975.00	195763.12
6870	598987.50	195758.21
6890	599000.00	195753.31
6910	599012.50	195748.40
6920	599025.00	195743.49
6930	599037.50	195738.59
6950	599050.00	195733.68
6960	599062.50	195728.78
6970	599075.00	195723.87
6980	599087.50	195718.97
6990	599100.00	195714.07
7000	599112.50	195709.16
7020	599125.00	195704.26
7030	599137.50	195699.36
7040	599150.00	195694.46
7050	599162.50	195689.56
7060	599187.50	195679.77
7070	599212.50	195669.97
7080	599225.00	195665.08
7090	599250.00	195655.29
7100	599275.00	195645.50
7110	599312.50	195630.82
7120	599350.00	195616.15
7130	599387.50	195601.49
7140	599437.50	195581.95
7150	599487.50	195562.42
7160	599550.00	195538.02
7170	599637.50	195503.89
7180	599712.50	195474.66
7190	599800.00	195440.59
7200	599962.50	195377.41
7210	600200.00	195285.28
7220	600800.00	195053.61
7230	663250.00	180475.14
7240	678000.00	180047.02
7250	679250.00	180066.23
7260	718875.00	185102.33
7290	720125.00	185396.82
7460	721375.00	185699.25
13200	721500.00	185639.82
13500	721625.00	185580.45
13800	721750.00	185521.15
13900	721875.00	185461.92
14100	722125.00	185343.64
14200	830250.00	164627.15
14300	830875.00	164706.28
14400	831262.50	164746.53
14500	831512.50	164779.39
14600	831762.50	164812.63
14700	832012.50	164846.24
14800	832137.50	164863.18
14900	832387.50	164897.35
15000	832650.00	164923.54
15100	833025.00	164976.04
15200	833275.00	165011.51
15300	833537.50	165038.99
15500	849800.00	168142.72
15600	851062.50	168436.31
15700	852312.50	168746.98
15800	852325.00	168738.61
16000	852337.50	168730.25
16100	852350.00	168721.88
16200	852375.00	168705.15
16300	852387.50	168696.78
16400	852412.50	168680.05
16500	852437.50	168663.32
16600	852450.00	168654.96
16700	852462.50	168646.60
16800	852487.50	168629.87
16900	852500.00	168621.51
17000	852525.00	168604.79
17100	852562.50	168579.71
17200	852600.00	168554.64
17300	852650.00	168521.22
17400	852712.50	168479.45
17500	852787.50	168429.35
17600	852912.50	168345.88
17700	853087.50	168229.12
17800	969375.00	125416.58
17900	970875.00	125474.45
18600	972125.00	125536.34
18800	972250.00	125417.84
19500	972375.00	125299.35
19800	972500.00	125180.87
19900	972625.00	125062.40
20000	972750.00	124943.95
20100	972875.00	124825.51
20200	973500.00	124233.51
20300	1127250.00	53831.67
20400	1128500.00	54677.95
20800	1129750.00	55539.48
974000	1013625.00	126086.41
975000	1013375.00	126310.97
976000	1013250.00	126423.29
977000	1013125.00	126535.63
978000	1013000.00	126647.99
979000	1012875.00	126760.38
980000	1012750.00	126872.79
981000	1012625.00	126985.23
982000	1012500.00	127097.68
984000	1012375.00	127210.17
985000	1012250.00	127322.67
987000	1012125.00	127435.20
988000	1012000.00	127547.75
990000	1011875.00	127660.32
991000	1011750.00	127772.92
992000	1011625.00	127885.54
993000	1011500.00	127998.19
994000	1011375.00	128110.85
995000	1011250.00	128223.54
996000	1011000.00	128448.99
997000	1010500.00	128900.16
998000	1007500.00	131614.56
999000	1007125.00	131954.73
1e+06	1006875.00	132181.62
1.01e+06	1006625.00	132408.59
1.02e+06	1006500.00	132522.10
1.2e+06	859500.00	150479.59
1.21e+06	858625.00	151009.10
1.22e+06	858250.00	151237.01
1.23e+06	858125.00	151313.11
1.33e+06	858000.00	151389.28
2780000	858000.00	151389.28
