#Time	LowerQ	Median	UpperQ
0	1	10000	76900
0.0046	1	10000	76900
0.0046	1	10000	76900
0.00952	1	10000	76900
0.00952	544	10100	76900
0.0148	544	10100	76900
0.0148	1000	10100	76900
0.0205	1000	10100	76900
0.0205	1090	10100	76900
0.0267	1090	10100	76900
0.0267	1120	10100	76900
0.0333	1120	10100	76900
0.0333	1130	10100	76900
0.39	1130	10100	76900
0.39	1140	10100	76900
1.4	1140	10100	76900
1.4	1160	10100	76900
1.6	1160	10100	76900
1.6	1230	10100	76900
1.66	1230	10100	76900
1.66	1260	10100	76900
2.4	1260	10100	76900
2.4	1280	10100	76900
4.03	1280	10100	76900
4.03	1330	10100	76900
4.53	1330	10100	76900
4.53	1340	10100	76900
5.18	1340	10100	76900
5.18	1340	10100	76900
5.23	1340	10100	76900
5.23	1350	10100	76900
5.79	1350	10100	76900
5.79	1370	10100	76900
7.05	1370	10100	76900
7.05	1420	10100	76900
8.63	1420	10100	76900
8.63	1460	10100	76900
9.35	1460	10100	76900
9.35	1480	10100	76900
9.55	1480	10100	76900
9.55	1490	10100	76900
10.1	1490	10100	76900
10.1	1490	10100	76900
10.2	1490	10100	76900
10.2	1520	10100	76900
10.7	1520	10100	76900
10.7	1520	10100	76900
10.8	1520	10100	76900
10.8	1580	10100	76900
11	1580	10100	76900
11	1600	10100	76900
12.1	1600	10100	76900
12.1	1640	10100	76900
12.2	1640	10100	76900
12.2	1680	10100	76900
12.7	1680	10100	76900
12.7	1720	10100	76900
13	1720	10100	76900
13	1720	10100	76900
13.5	1720	10100	76900
13.5	1760	10100	76900
15.1	1760	10100	76900
15.1	1830	10100	76900
15.3	1830	10100	76900
15.3	1930	10100	76900
15.6	1930	10100	76900
15.6	2000	10100	76900
16.4	2000	10100	76900
16.4	2030	10100	76900
16.8	2030	10100	76900
16.8	2040	10100	76900
18	2040	10100	76900
18	2070	10100	76900
18.3	2070	10100	76900
18.3	2100	10100	76900
18.4	2100	10100	76900
18.4	2110	10100	76900
18.7	2110	10100	76900
18.7	2110	10100	76900
19.1	2110	10100	76900
19.1	2230	10100	76900
19.7	2230	10100	76900
19.7	2260	10100	76900
19.9	2260	10100	76900
19.9	2330	10100	76900
20	2330	10100	76900
20	2390	10100	76900
20.1	2390	10100	76900
20.1	2420	10100	76900
20.4	2420	10100	76900
20.4	2430	10100	76900
20.7	2430	10100	76900
20.7	2490	10100	76900
21.7	2490	10100	76900
21.7	2520	10100	76900
21.9	2520	10100	76900
21.9	2590	10100	76900
22	2590	10100	76900
22	2760	10100	76900
22.2	2760	10100	76900
22.2	2810	10100	76900
22.4	2810	10100	76900
22.4	2910	10100	76900
22.5	2910	10100	76900
22.5	2950	10100	76900
22.8	2950	10100	76900
22.8	2990	10100	76900
23.1	2990	10100	76900
23.1	2990	10100	76900
24.8	2990	10100	76900
24.8	3150	10100	76900
25.5	3150	10100	76900
25.5	3290	10100	76900
26.2	3290	10100	76900
26.2	3430	10100	76900
27.3	3430	10100	76900
27.3	3540	10100	76900
27.6	3540	10100	76900
27.6	3560	10100	76900
27.7	3560	10100	76900
27.7	3590	10100	76900
28.1	3590	10100	76900
28.1	3590	10100	76900
28.4	3590	10100	76900
28.4	3610	10100	76900
28.5	3610	10100	76900
28.5	3630	10100	76900
30	3630	10100	76900
30	3900	10100	76900
30.2	3900	10100	76900
30.2	3940	10100	76900
30.3	3940	10100	76900
30.3	4010	10100	76900
31.2	4010	10100	76900
31.2	4150	10100	76900
31.4	4150	10100	76900
31.4	4180	10100	76900
32.3	4180	10100	76900
32.3	4180	10100	76900
32.4	4180	10100	76900
32.4	4280	10100	76900
32.7	4280	10100	76900
32.7	4460	10100	76900
33	4460	10100	76900
33	4480	10100	76900
33.5	4480	10100	76900
33.5	4570	10100	76900
33.7	4570	10100	76900
33.7	4690	10100	76900
34.2	4690	10100	76900
34.2	4990	10100	76900
34.4	4990	10100	76900
34.4	5020	10100	76900
34.6	5020	10100	76900
34.6	5080	10100	76900
35.8	5080	10100	76900
35.8	5180	10100	76900
36.8	5180	10100	76900
36.8	5230	10100	76900
37.2	5230	10100	76900
37.2	5550	10100	76900
37.3	5550	10100	76900
37.3	5570	10100	76900
37.5	5570	10100	76900
37.5	5740	10100	76900
39.4	5740	10100	76900
39.4	6210	10100	76900
39.5	6210	10100	76900
39.5	6320	10100	76900
39.8	6320	10100	76900
39.8	6470	10100	76900
41.6	6470	10100	76900
41.6	6510	10100	76900
42.5	6510	10100	76900
42.5	6550	10100	76900
42.7	6550	10100	76900
42.7	6660	10100	76900
43.5	6660	10100	76900
43.5	6760	10100	76900
43.8	6760	10100	76900
43.8	6950	10100	76900
52.8	6950	10100	76900
52.8	6970	10100	76900
53.1	6970	10100	76900
53.1	7140	10200	76900
55.9	7140	10200	76900
55.9	7190	10200	76900
57.2	7190	10200	76900
57.2	7240	10200	76900
60.9	7240	10200	76900
60.9	7260	10200	76900
73.9	7260	10200	76900
